start_time,mean_CPU_usage,canonical_mem_usage,assigned_mem_usage,unmapped_page_cache_mem_usage,total_page_cache_mem_usage,max_mem_usage,mean_disk_IO_time,mean_local_disk_space_used,max_CPU_usage,max_disk_IO_time,CPI,MAI,sampled_CPU_usage,nr_of_tasks,scheduling_class
600000000.0,0.40302,0.032781,0.095712,0.00658406,0.0097427,0.040958,7.62917e-05,0.000223165,3.21615,0.00578857,16.1738,0.0065076,0.2626994,25,3
900000000.0,0.40187,0.031802,0.095479,0.00677697,0.0099262,0.038699,0.0001049028,0.000223165,3.02621,0.0122882099999999,16.16,0.006566,0.4680679,25,3
1200000000.0,0.42134,0.032003,0.095243,0.00707741,0.0102225,0.038748,0.0001077606999999,0.000224119,2.82108,0.01064434,16.1457,0.0064898,0.353493,25,3
1500000000.0,0.40436,0.032038,0.095339,0.00714973,0.0103143,0.038453,0.0001010879999999,0.000223165,2.95827,0.01276591,16.0479,0.0065452,0.3672747,25,3
1800000000.0,0.3939,0.031673,0.09543,0.00696,0.0101187,0.038971,8.486999999999999e-05,0.000219349,2.89527,0.00936076,16.0447,0.0066832,0.4919033,25,3
2100000000.0,0.39292,0.032363,0.095087,0.00723146,0.0103745,0.040681,9.91791e-05,0.000215533,2.95073,0.01228701,16.1264,0.0067865,0.3970053,25,3
2400000000.0,0.38762,0.032033,0.095212,0.00744936,0.010617,0.039989,7.91524e-05,0.000209809,2.99168,0.00857124,16.1962,0.0068069,0.3283574,25,3
2700000000.0,0.39727,0.032089,0.0950749999999999,0.00772759,0.0108778,0.038886,8.39197e-05,0.000209809,2.97877,0.00928813,16.1228,0.0065566,0.3076592,25,3
3000000000.0,0.38992,0.031884,0.095083,0.0080393199999999,0.0111842,0.037854,9.34614e-05,0.000209809,3.16245,0.01342954,16.2559,0.0066948,0.3472766,25,3
3300000000.0,0.39887,0.031697,0.095072,0.0080448699999999,0.0112118,0.037718,9.72694e-05,0.000211717,2.87238,0.01364138,16.158,0.0066417,0.4707459,25,3
3600000000.0,0.4198,0.031611,0.095065,0.00793736,0.0110878,0.037017,8.1061e-05,0.000214579,3.01003,0.00857324,16.2074,0.0067994,0.4148843,25,3
3900000000.0,0.40122,0.031252,0.095057,0.00719167,0.010338,0.036358,7.819769999999999e-05,0.000218395,2.90746,0.0077857599999999,16.2202,0.0067885,0.331522,25,3
4200000000.0,0.3942,0.031615,0.095068,0.00598324,0.00914737,0.03755,8.67831e-05,0.000224119,2.92583,0.01011008,16.1308,0.0066191,0.3676449,25,3
4500000000.0,0.3937299999999999,0.031179,0.095085,0.00484859,0.0080064,0.036307,0.0001115736999999,0.000223165,2.89754,0.01336108,16.1289,0.0065589,0.396705,25,3
4800000000.0,0.39644,0.03128,0.095093,0.00476642,0.0079113999999999,0.037045,0.000101087,0.000223165,3.00636,0.01221905,16.1733,0.0065644,0.5363559,25,3
5100000000.0,0.38485,0.031721,0.095097,0.00475485,0.0079225,0.03928,0.0001020417,0.000223165,3.14464,0.0143945699999999,16.2153,0.0066329,0.2780949,25,3
5400000000.0,0.37532,0.031288,0.095101,0.00497438,0.0081355,0.037431,8.297e-05,0.000224119,3.03383,0.00793135,16.1597,0.0063453,0.2646257,25,3
5700000000.0,0.39069,0.031944,0.095105,0.00525288,0.0083993,0.038402,8.773179999999999e-05,0.000224119,3.1909,0.00878586,16.1864,0.1151124999999999,0.3155913,25,3
6000000000.0,0.38745,0.031599,0.095094,0.00550081,0.0086669,0.037768,9.155e-05,0.000224119,3.03084,0.01093384,16.1712,0.0064768,0.5638262,25,3
6300000000.0,0.37548,0.031114,0.095089,0.00578031,0.0089316,0.03732,0.0001125254,0.000226027,2.93006,0.01543122,16.234,0.0066026,0.5993605,25,3
6600000000.0,0.3886799999999999,0.031149,0.095101,0.00594328,0.0090913,0.036433,0.0001220659999999,0.000226027,3.06868,0.01735865,16.1811,0.0065621,0.3488082,25,3
6900000000.0,0.38487,0.031502,0.095086,0.0059717999999999,0.0091374,0.03869,0.0001077624,0.000224119,2.87714,0.01464471,16.1475,0.0065007,0.5088512000000001,25,3
7200000000.0,0.40124,0.032449,0.095085,0.0058279,0.0089921,0.039306,9.24997e-05,0.000223165,3.0043,0.01021844,16.2384,0.0065365,0.258303,25,3
7500000000.0,0.40419,0.032047,0.095073,0.00590897,0.0090586,0.038469,9.2494e-05,0.000223165,3.12106,0.0117168599999999,16.1265,0.0063339,0.3672108,25,3
7800000000.0,0.37868,0.031867,0.095072,0.0061664,0.0093326,0.038373,8.0108e-05,0.000223165,2.9581,0.00664591,16.1961,0.0066717,0.2887322,25,3
8100000000.0,0.37429,0.031667,0.095072,0.0064371,0.0095886,0.037688,0.0001220757,0.000223165,2.99209,0.01464518,16.0807,0.0064472,0.2463786,25,3
8400000000.0,0.37511,0.03183,0.095113,0.0067004,0.0098485999999999,0.038797,8.2969e-05,0.000222211,3.03049,0.00900448,16.2033,0.0066384,0.4276964,25,3
8700000000.0,0.38619,0.0316,0.095125,0.0069199,0.010077,0.037426,8.48744e-05,0.000223165,2.98934,0.0087174,16.1124,0.0064144,0.3315058,25,3
9000000000.0,0.37096,0.031767,0.095117,0.00678534,0.0099354,0.037794,8.77357e-05,0.000225073,2.99443,0.00914557,16.1774,0.006672,0.3038386,25,3
9300000000.0,0.36043,0.031355,0.095111,0.00626569,0.009416,0.037017,8.201e-05,0.000225073,2.94794,0.00714784,16.1457,0.0064869,0.2100666,25,3
9600000000.0,0.3501,0.031216,0.095103,0.00645826,0.0096226,0.036829,9.34597e-05,0.000225073,2.88479,0.01243252,16.1951,0.0066407,0.2831719,25,3
