start_time,mean_CPU_usage,canonical_mem_usage,assigned_mem_usage,unmapped_page_cache_mem_usage,total_page_cache_mem_usage,max_mem_usage,mean_disk_IO_time,mean_local_disk_space_used,max_CPU_usage,max_disk_IO_time,CPI,MAI,sampled_CPU_usage,nr_of_tasks,scheduling_class
600000000.0,1.6342,0.88864,1.04495,0.16007,0.165725,0.89809,0.0110474,0.016448,9.038,0.566628,53.252,0.099059,0.0,30,3
900000000.0,1.46803,0.88604,1.04385,0.160844,0.166442,0.89286,0.0090189,0.01640915,8.7226,0.465963,54.107,0.103882,0.0,30,3
1200000000.0,1.34288,0.88658,1.04385,0.159859,0.165496,0.89511,0.0094587,0.01639565,8.2411,0.50041,52.009,0.096933,0.0,30,3
1500000000.0,1.63501,0.8857700000000001,1.04385,0.155261,0.160875,0.89126,0.0089627,0.01640041,9.0472,0.477835,52.914,0.100378,0.0,30,3
1800000000.0,1.71406,0.88635,1.04391,0.150979,0.156602,0.8904799999999999,0.0095168,0.01633481,8.6036,0.509996,54.019,0.103949,0.0,30,3
2100000000.0,1.3449,0.88623,1.0439699999999998,0.150398,0.156006,0.89278,0.0088547,0.01635162,8.5626,0.453243,54.73,0.107563,0.0,30,3
2400000000.0,1.10195,0.8852,1.0439699999999998,0.151054,0.156626,0.89114,0.008611,0.01637447,7.886,0.466803,56.061,0.11506,0.0,30,3
2700000000.0,1.32064,0.88524,1.04385,0.152178,0.157785,0.88977,0.008519,0.01638013,8.0857,0.45514,57.174,0.116734,0.0,30,3
3000000000.0,1.63452,0.88779,1.04379,0.153656,0.159218,0.8964300000000001,0.0107346,0.0164193,8.4233,0.529585,56.094,0.111298,0.0,30,3
3300000000.0,1.38212,0.88783,1.04391,0.154151,0.159698,0.89902,0.0088559,0.0164433,8.2933,0.4751599999999999,55.236,0.111448,0.0,30,3
3600000000.0,1.91811,0.89249,1.04373,0.146991,0.152501,0.91108,0.0097227,0.016451,9.0298,0.487761,55.348,0.107559,0.0,30,3
3900000000.0,1.83893,0.89076,1.04385,0.145589,0.151089,0.90477,0.009403,0.0164311,9.2356,0.488758,55.863,0.108822,0.0,30,3
4200000000.0,1.31991,0.88625,1.04391,0.143543,0.14901,0.89362,0.0088185,0.016427,8.8338,0.481465,52.752,0.098784,0.0,30,3
4500000000.0,1.28616,0.88535,1.0439699999999998,0.140739,0.14623,0.89023,0.0081074,0.01640413,8.1527,0.437884,54.159,0.1032619999999999,0.0,30,3
4800000000.0,1.29134,0.88592,1.04385,0.140792,0.146273,0.89157,0.008626,0.01641288,8.0929,0.4346939999999999,53.592,0.103615,0.0,30,3
5100000000.0,1.61359,0.88952,1.04391,0.145277,0.150757,0.90194,0.0117225,0.0164449399999999,9.0543,0.617892,53.896,0.105105,0.0,30,3
5400000000.0,1.46105,0.88754,1.04403,0.15045,0.15596,0.89852,0.0097571,0.0164259499999999,8.3883,0.518385,54.723,0.106445,0.0,30,3
5700000000.0,1.39076,0.88824,1.04391,0.152531,0.157995,0.89859,0.0108103,0.0164014,8.1411,0.568785,55.721,0.111062,0.0,30,3
6000000000.0,1.2462,0.88844,1.04391,0.154547,0.159979,0.89868,0.0101192,0.01640531,8.0512,0.537283,53.765,0.10623,0.0,30,3
6300000000.0,1.34117,0.88671,1.04403,0.157126,0.162612,0.89597,0.0088625,0.01644126,8.9177,0.485441,53.821,0.106021,0.0,30,3
6600000000.0,1.31329,0.88691,1.04391,0.153888,0.159369,0.89373,0.0095584,0.01644511,8.3454,0.536542,51.368,0.095632,0.0,30,3
6900000000.0,1.4792,0.88741,1.0439699999999998,0.151757,0.157146,0.89698,0.0096351,0.01643377,8.5171,0.513875,53.646,0.104393,0.0,30,3
7200000000.0,0.87321,0.88689,1.04403,0.151771,0.15713,0.8979,0.0087157,0.01644407,7.6701,0.516674,55.079,0.111038,0.0,30,3
7500000000.0,1.04227,0.88685,1.04403,0.154397,0.159731,0.89633,0.0093799,0.01646423,7.7762,0.4961339999999999,55.875,0.1157509999999999,0.0,30,3
7800000000.0,1.272,0.88704,1.04403,0.153276,0.158608,0.8931,0.0097857,0.01645288,8.1859,0.483666,51.19,0.093934,0.0,30,3
8100000000.0,2.02078,0.888,1.0439699999999998,0.152819,0.158154,0.89657,0.0095261,0.0164755,9.8714,0.495204,49.109,0.084786,0.0,30,3
8400000000.0,1.20063,0.88962,1.04415,0.1491019999999999,0.154423,0.8988,0.0095148,0.0165236,8.6833,0.5577,49.403,0.087978,0.0,30,3
8700000000.0,0.69665,0.8874,1.04427,0.14964,0.154999,0.89481,0.0082785,0.0165224,7.3389,0.494833,52.529,0.105124,0.0,30,3
9000000000.0,0.81761,0.88788,1.04427,0.1514599999999999,0.15678,0.89527,0.0088845,0.0164774,7.7003,0.571245,52.758,0.103271,0.0,30,3
9300000000.0,1.06615,0.8884,1.04403,0.153246,0.158606,0.89564,0.0086849,0.016451,7.8177,0.469497,54.127,0.10827,0.0,30,3
9600000000.0,0.91737,0.88972,1.04415,0.150307,0.155655,0.90144,0.0097436,0.0164822,7.4823,0.564035,51.317,0.097375,0.0,30,3
9900000000.0,0.99096,0.88884,1.04409,0.150146,0.155453,0.89777,0.0086851,0.0165135,7.6042,0.487897,55.107,0.109102,0.0,30,3
10200000000.0,0.74008,0.88934,1.04403,0.147374,0.152598,0.90001,0.0091706,0.0165569,7.393499999999999,0.503353,55.704,0.118326,0.0,30,3
10500000000.0,0.98537,0.89037,1.04403,0.147855,0.153039,0.90151,0.008786,0.0165758,7.786799999999999,0.503139,57.746,0.119617,0.0,30,3
10800000000.0,1.30642,0.89191,1.04482,0.147436,0.152579,0.90319,0.0088599,0.0165675,8.2897,0.4699069999999999,53.101,0.102505,0.0,30,3
11100000000.0,0.631,0.88991,1.0451199999999998,0.148274,0.153422,0.89925,0.0080785,0.016571,6.0834,0.459759,56.922,0.126427,0.0,30,3
11400000000.0,0.91792,0.88974,1.04409,0.148184,0.153317,0.89956,0.0094984,0.0165911,6.9998000000000005,0.496826,55.443,0.116699,0.0,30,3
11700000000.0,0.77986,0.88803,1.04421,0.149975,0.155109,0.89599,0.0085822,0.01658917,6.8644,0.490515,54.156,0.11039,0.0,30,3
12000000000.0,0.71706,0.88839,1.04421,0.147339,0.152404,0.89817,0.00831307,0.01659673,6.7015,0.469707,57.689,0.124524,0.0,30,3
12300000000.0,1.2177,0.88866,1.04409,0.150911,0.155986,0.89481,0.0095117,0.01662998,8.3017,0.5023880000000001,54.764,0.105816,0.0,30,3
12600000000.0,0.91831,0.88836,1.04415,0.150673,0.15569,0.89667,0.0099285,0.016574,7.5868,0.516273,52.468,0.099269,0.0,30,3
12900000000.0,0.85587,0.88879,1.04421,0.148277,0.153279,0.89781,0.0087298,0.0165287,7.3057,0.475396,54.889,0.109731,0.0,30,3
13200000000.0,0.98268,0.8896999999999999,1.04415,0.149663,0.154649,0.89852,0.0087613,0.0165518,7.8762,0.489376,54.167,0.1079099999999999,0.0,30,3
13500000000.0,1.09159,0.88897,1.04421,0.150547,0.155526,0.89774,0.0081844,0.0165609,8.0815,0.453061,51.76,0.092538,0.0,30,3
13800000000.0,1.24144,0.88887,1.04403,0.151404,0.156404,0.89561,0.0089551,0.0165539,8.1677,0.481982,51.029,0.092376,0.0,30,3
14100000000.0,0.79544,0.88914,1.04403,0.148695,0.153668,0.8975799999999999,0.0082882,0.016557,7.528399999999999,0.477836,52.807,0.103031,0.0,30,3
14400000000.0,0.98516,0.88917,1.0439699999999998,0.1478,0.152772,0.89689,0.0090329,0.0165786,7.8655,0.48641,53.493,0.104304,0.0,30,3
14700000000.0,0.99508,0.8894299999999999,1.04391,0.142892,0.147841,0.89571,0.0085766,0.016613,7.4844,0.470424,53.628,0.105275,0.0,30,3
