start_time,mean_CPU_usage,canonical_mem_usage,assigned_mem_usage,unmapped_page_cache_mem_usage,total_page_cache_mem_usage,max_mem_usage,mean_disk_IO_time,mean_local_disk_space_used,max_CPU_usage,max_disk_IO_time,CPI,MAI,sampled_CPU_usage,nr_of_tasks,scheduling_class
600000000.0,0.01247,0.04218,0.05048,0.001635,0.001957,0.04236,1.24e-05,8.583e-06,0.1602,0.001715,1.573,0.002105,0.0002956,1,2
900000000.0,0.01341,0.04169,0.05048,0.001635,0.001957,0.04211,5.722e-06,8.583e-06,0.1631,0.0001431,1.544,0.00211,0.0002699,1,2
1200000000.0,0.01244,0.04169,0.05048,0.001638,0.001961,0.04199,4.768e-06,8.583e-06,0.1614,0.0007143,1.528,0.002076,0.08398,1,2
1500000000.0,0.0127,0.04218,0.05048,0.001644,0.001968,0.04236,7.629e-06,8.583e-06,0.1633,0.0005713,1.525,0.002054,0.0002365,1,2
1800000000.0,0.01228,0.04169,0.05048,0.00165,0.001972,0.04211,6.676e-06,8.583e-06,0.1628,0.0005713,1.553,0.002086,0.0002985,1,2
2100000000.0,0.01303,0.04169,0.05048,0.001654,0.001976,0.04199,1.24e-05,8.583e-06,0.165,0.001215,1.546,0.002085,0.0003204,1,2
2400000000.0,0.01262,0.04218,0.05048,0.001635,0.001957,0.04236,2.098e-05,8.583e-06,0.1548,0.003716,1.534,0.002144,0.06299,1,2
2700000000.0,0.0137,0.04169,0.05048,0.001604,0.001928,0.04205,3.529e-05,8.583e-06,0.158,0.005211,1.553,0.00217,0.07922,1,2
3000000000.0,0.01239,0.04163,0.05048,0.00161,0.001934,0.04181,1.144e-05,8.583e-06,0.1619,0.0009289,1.541,0.002157,0.0004244,1,2
3300000000.0,0.01273,0.04211,0.05048,0.001606,0.001932,0.04236,1.049e-05,8.583e-06,0.1611,0.0005713,1.484,0.002202,0.0002403,1,2
3600000000.0,0.01402,0.04169,0.05048,0.001606,0.00193,0.04205,5.341e-05,8.583e-06,0.1628,0.001999,1.505,0.00225,0.004021,1,2
3900000000.0,0.0154,0.04181,0.05042,0.001616,0.00194,0.04205,6.008e-05,8.583e-06,0.1924,0.001785,1.545,0.002348,0.007599,1,2
4200000000.0,0.01207,0.04211,0.05048,0.001621,0.001945,0.04236,1.24e-05,8.583e-06,0.1624,0.001143,1.476,0.002203,0.0002394,1,2
4500000000.0,0.01292,0.04169,0.05048,0.001627,0.001951,0.04205,2.098e-05,8.583e-06,0.1606,0.001143,1.482,0.002154,0.002415,1,2
4800000000.0,0.01202,0.04163,0.05048,0.001631,0.001957,0.04187,7.629e-06,8.583e-06,0.1599,0.0005713,1.526,0.002117,0.0003777,1,2
5100000000.0,0.01274,0.04218,0.05048,0.001637,0.001961,0.04236,1.049e-05,8.583e-06,0.1667,0.001358,1.506,0.002087,0.0002508,1,2
5400000000.0,0.01198,0.04169,0.05048,0.00164,0.001965,0.04211,1.335e-05,8.583e-06,0.167,0.001072,1.516,0.002103,0.03,1,2
5700000000.0,0.01254,0.04169,0.05048,0.001644,0.001968,0.04187,1.431e-05,8.583e-06,0.1604,0.0009995,1.509,0.002083,0.000494,1,2
6000000000.0,0.01259,0.04211,0.05048,0.00165,0.001976,0.04236,1.24e-05,8.583e-06,0.1604,0.0009995,1.548,0.002129,0.001562,1,2
6300000000.0,0.01347,0.04169,0.05048,0.001654,0.00198,0.04205,6.676e-06,9.537e-06,0.1643,0.0005713,1.558,0.002089,0.0007153,1,2
6600000000.0,0.01231,0.04163,0.05048,0.001657,0.001984,0.04187,6.676e-06,9.537e-06,0.1619,0.0005713,1.537,0.002086,0.08228,1,2
6900000000.0,0.01312,0.04211,0.05048,0.001663,0.001987,0.04236,6.676e-06,9.537e-06,0.1619,0.0005713,1.547,0.002071,0.0003052,1,2
7200000000.0,0.01282,0.04169,0.05048,0.001669,0.001991,0.04211,4.673e-05,9.537e-06,0.1692,0.00243,1.563,0.002116,0.007523,1,2
7500000000.0,0.0162,0.04187,0.05042,0.001673,0.001999,0.04205,0.0003834,9.537e-06,0.1934,0.003502,1.587,0.002202,0.05853,1,2
7800000000.0,0.0135,0.04218,0.05048,0.001682,0.002007,0.04254,1.621e-05,9.537e-06,0.1484,0.0007858,1.552,0.002166,0.04138,1,2
8100000000.0,0.01292,0.04175,0.05048,0.001686,0.00201,0.04211,4.768e-06,9.537e-06,0.1587,0.0002146,1.491,0.002128,0.0007162,1,2
8400000000.0,0.01196,0.04163,0.05048,0.001686,0.00201,0.04187,5.722e-06,9.537e-06,0.1611,0.0003567,1.517,0.002135,0.0003319,1,2
8700000000.0,0.01253,0.04169,0.05048,0.00169,0.002014,0.04187,8.583e-06,9.537e-06,0.1489,0.001143,1.516,0.002108,0.001278,1,2
9000000000.0,0.01212,0.04211,0.05048,0.001696,0.002022,0.04236,1.335e-05,9.537e-06,0.1565,0.001715,1.503,0.002093,0.0004406,1,2
9300000000.0,0.01247,0.04169,0.05048,0.001699,0.002026,0.04211,7.629e-06,9.537e-06,0.165,0.001143,1.497,0.002064,0.0003796,1,2
9600000000.0,0.01189,0.04169,0.05048,0.001703,0.002029,0.04187,5.722e-06,9.537e-06,0.1467,0.0005713,1.517,0.002076,0.0001907,1,2
9900000000.0,0.01343,0.04211,0.05048,0.001709,0.002033,0.04236,6.676e-06,9.537e-06,0.1597,0.0005713,1.531,0.002102,0.004745,1,2
10200000000.0,0.01256,0.04169,0.05048,0.001715,0.002037,0.04205,6.676e-06,9.537e-06,0.1597,0.0008574,1.569,0.002109,0.0004606,1,2
10500000000.0,0.01279,0.04169,0.05048,0.001719,0.002045,0.04187,6.676e-06,9.537e-06,0.1648,0.0005713,1.554,0.002111,0.0005703,1,2
10800000000.0,0.01497,0.04211,0.05048,0.001724,0.002048,0.04254,4.673e-05,9.537e-06,0.1621,0.001358,1.575,0.002131,0.04932,1,2
11100000000.0,0.01543,0.04181,0.05048,0.001732,0.002056,0.0423,6.199e-05,9.537e-06,0.1794,0.001429,1.657,0.002315,0.005554,1,2
11400000000.0,0.01222,0.04169,0.05048,0.001738,0.002064,0.04187,7.629e-06,9.537e-06,0.1519,0.0006428,1.55,0.002086,0.06274,1,2
11700000000.0,0.01346,0.04211,0.05048,0.001738,0.002064,0.04236,4.768e-06,9.537e-06,0.1609,7.153e-05,1.547,0.002086,0.0002632,1,2
12000000000.0,0.01239,0.04169,0.05048,0.001741,0.002068,0.04211,7.629e-06,9.537e-06,0.1599,0.0007143,1.554,0.002126,0.0005674,1,2
12300000000.0,0.01297,0.04163,0.05048,0.001745,0.002071,0.04181,7.629e-06,9.537e-06,0.5098,0.0007858,1.555,0.002127,0.08154,1,2
12600000000.0,0.0128,0.04211,0.05048,0.001724,0.002048,0.04236,6.676e-06,9.537e-06,0.1616,0.0005713,1.566,0.002165,0.0003204,1,2
12900000000.0,0.01292,0.04175,0.05048,0.001715,0.002041,0.04218,7.629e-06,9.537e-06,0.1592,0.0007143,1.539,0.002139,0.0006094,1,2
13200000000.0,0.0121,0.04169,0.05048,0.001699,0.002026,0.04187,1.144e-05,9.537e-06,0.1628,0.001572,1.511,0.002148,0.08203,1,2
13500000000.0,0.01318,0.04211,0.05048,0.001678,0.002003,0.04236,8.583e-06,9.537e-06,0.168,0.0005713,1.512,0.002128,0.0006046,1,2
13800000000.0,0.01187,0.04175,0.05048,0.001669,0.001991,0.04218,6.676e-06,9.537e-06,0.156,0.0007858,1.492,0.002115,0.0004082,1,2
14100000000.0,0.01295,0.04169,0.05048,0.001673,0.001999,0.04187,5.722e-06,9.537e-06,0.1631,0.0005713,1.526,0.002125,0.0001593,1,2
14400000000.0,0.0135,0.04169,0.05048,0.001657,0.001984,0.04205,5.341e-05,9.537e-06,0.1621,0.002857,1.535,0.002163,0.001219,1,2
14700000000.0,0.0162,0.04224,0.05048,0.001635,0.001961,0.0426,7.057e-05,9.537e-06,0.1685,0.002571,1.587,0.002299,0.000701,1,2
15000000000.0,0.01224,0.04175,0.05048,0.001633,0.001957,0.04218,7.629e-06,9.537e-06,0.1641,0.0008574,1.518,0.002134,0.0002375,1,2
15300000000.0,0.01311,0.04169,0.05048,0.001635,0.001961,0.04193,7.629e-06,9.537e-06,0.1643,0.0005713,1.525,0.00215,0.04102,1,2
15600000000.0,0.01236,0.04211,0.05048,0.001638,0.001965,0.04248,3.815e-06,9.537e-06,0.1616,0.0001431,1.523,0.002127,0.0006657,1,2
15900000000.0,0.01248,0.04175,0.05048,0.001642,0.001968,0.04211,3.815e-06,9.537e-06,0.1626,0.0001431,1.514,0.002207,0.001348,1,2
16200000000.0,0.0125,0.04169,0.05048,0.001646,0.001972,0.04187,3.815e-06,9.537e-06,0.1665,7.153e-05,1.559,0.002205,0.0004206,1,2
16500000000.0,0.01306,0.04211,0.05048,0.001652,0.001976,0.04248,7.629e-06,9.537e-06,0.1643,0.001143,1.541,0.002203,0.0007229,1,2
16800000000.0,0.0126,0.04175,0.05048,0.001656,0.00198,0.04211,4.768e-06,9.537e-06,0.1643,0.0001431,1.573,0.002231,0.06299,1,2
17100000000.0,0.01375,0.04169,0.05048,0.001661,0.001987,0.04187,5.722e-06,9.537e-06,0.1624,0.0003567,1.588,0.002165,0.004555,1,2
17400000000.0,0.01305,0.04211,0.05048,0.001667,0.001991,0.04248,1.526e-05,9.537e-06,0.1567,0.001999,1.57,0.002133,0.0002966,1,2
17700000000.0,0.01328,0.04175,0.05048,0.001673,0.001999,0.04211,7.629e-06,9.537e-06,0.1643,0.0009995,1.596,0.002188,0.0003824,1,2
18000000000.0,0.01462,0.04169,0.05048,0.001677,0.002003,0.04205,2.956e-05,9.537e-06,0.1621,0.001215,1.562,0.002186,0.06787,1,2
18300000000.0,0.01605,0.04224,0.05048,0.001686,0.00201,0.04272,5.913e-05,9.537e-06,0.1907,0.001572,1.613,0.00228,0.0636,1,2
18600000000.0,0.01228,0.04181,0.05048,0.001692,0.002018,0.0423,3.815e-06,9.537e-06,0.1628,7.153e-05,1.571,0.002193,0.05505,1,2
18900000000.0,0.01314,0.04169,0.05048,0.001696,0.002022,0.04187,3.815e-06,9.537e-06,0.1643,0.0001431,1.561,0.002186,0.008133,1,2
19200000000.0,0.0125,0.04211,0.05048,0.001694,0.002018,0.04242,9.537e-06,9.537e-06,0.1621,0.001215,1.551,0.002138,0.0003939,1,2
19500000000.0,0.01263,0.04175,0.05048,0.001686,0.00201,0.0423,3.815e-06,9.537e-06,0.1633,0.0001431,1.556,0.002186,0.1562,1,2
19800000000.0,0.01213,0.04163,0.05048,0.00169,0.002014,0.04187,6.676e-06,9.537e-06,0.1577,0.0005713,1.558,0.002173,0.0001793,1,2
20100000000.0,0.01289,0.04211,0.05048,0.001696,0.002022,0.04248,5.722e-06,9.537e-06,0.1599,0.0002861,1.528,0.002146,0.0003986,1,2
20400000000.0,0.01204,0.04175,0.05048,0.001701,0.002026,0.04224,6.676e-06,9.537e-06,0.1611,0.0009289,1.538,0.002188,0.000144,1,2
20700000000.0,0.01337,0.04211,0.05048,0.001707,0.002033,0.04248,5.722e-06,9.537e-06,0.1602,0.0005713,1.531,0.002155,0.0003338,1,2
21000000000.0,0.01228,0.04175,0.05048,0.001711,0.002037,0.04224,3.815e-06,9.537e-06,0.1628,0.0002146,1.575,0.00217,0.06171,1,2
21300000000.0,0.01265,0.04163,0.05048,0.001715,0.002041,0.04181,3.815e-06,9.537e-06,0.1631,0.0002146,1.551,0.002143,0.06384,1,2
21600000000.0,0.01331,0.04169,0.05048,0.001719,0.002045,0.04205,3.91e-05,9.537e-06,0.1624,0.001642,1.58,0.002205,0.08191,1,2
21900000000.0,0.01736,0.04224,0.05048,0.001728,0.002052,0.04266,0.0001173,9.537e-06,0.2275,0.001999,1.662,0.002395,0.0001688,1,2
22200000000.0,0.01266,0.04181,0.05048,0.001732,0.002056,0.04236,5.722e-06,9.537e-06,0.1646,0.0004282,1.583,0.002239,0.0289,1,2
22500000000.0,0.01328,0.04169,0.05048,0.001734,0.00206,0.04187,4.768e-06,9.537e-06,0.1475,0.0001431,1.566,0.002179,0.0003119,1,2
22800000000.0,0.01224,0.04211,0.05048,0.00174,0.002064,0.0426,7.629e-06,9.537e-06,0.1494,0.0005713,1.527,0.002193,0.0002966,1,2
23100000000.0,0.01256,0.04181,0.05048,0.001741,0.002068,0.04236,6.676e-06,9.537e-06,0.2812,0.0005713,1.526,0.002173,0.004425,1,2
23400000000.0,0.0123,0.04169,0.05048,0.001745,0.002071,0.04187,7.629e-06,9.537e-06,0.1541,0.0007143,1.534,0.002161,0.0003271,1,2
23700000000.0,0.01302,0.04211,0.05048,0.001751,0.002075,0.04236,9.537e-06,9.537e-06,0.1643,0.001143,1.543,0.002189,0.0005627,1,2
24000000000.0,0.01241,0.04181,0.05048,0.001732,0.002056,0.04236,1.144e-05,9.537e-06,0.1624,0.001215,1.552,0.002218,0.000268,1,2
24300000000.0,0.01326,0.04211,0.05048,0.001728,0.002052,0.04242,7.629e-06,9.537e-06,0.1631,0.0005713,1.565,0.00221,0.001457,1,2
24600000000.0,0.01218,0.04181,0.05048,0.00172,0.002045,0.0423,1.431e-05,9.537e-06,0.1619,0.001642,1.545,0.0022,0.0004015,1,2
