start_time,mean_CPU_usage,canonical_mem_usage,assigned_mem_usage,unmapped_page_cache_mem_usage,total_page_cache_mem_usage,max_mem_usage,mean_disk_IO_time,mean_local_disk_space_used,max_CPU_usage,max_disk_IO_time,CPI,MAI,sampled_CPU_usage,nr_of_tasks,scheduling_class
600000000.0,6.76772,17.07076,20.46728,2.205448,2.37617,17.34638,0.2116331,0.17049235,63.9277,5.80376,674.806,1.852323,0.0,246,3
900000000.0,6.62097,17.01416,20.38587,2.226621,2.394868,17.28292,0.200859,0.17076875,62.0458,5.653738,693.364,1.909598,0.0,245,3
1200000000.0,6.4699,16.52894,19.80814,2.179008,2.342526,16.81028,0.1896462,0.16515681,59.9081,5.151109,674.662,1.819871,0.0,238,3
1500000000.0,6.93406,17.76965,21.302,2.341634,2.516,18.07647,0.2111015,0.17737421,63.4769,5.783389,710.415,1.929178,0.0,256,3
1800000000.0,6.92726,17.84308,21.39468,2.399633,2.576076,18.14711,0.2012737,0.17864332,67.0182,5.699218,778.31,2.205473,0.0,257,3
2100000000.0,7.10597,18.25232,21.89221,2.427086,2.607683,18.55795,0.228043,0.18290827,65.7142,5.853272,790.475,2.257039,0.0,263,3
2400000000.0,6.86433,17.7301,21.24444,2.347172,2.521626,18.00901,0.217345,0.1774871,63.8899,6.033261,810.189,2.328583,0.0,255,3
2700000000.0,6.81254,17.72029,21.24323,2.376735,2.55018,18.00918,0.2060511,0.1781186,63.8888,5.743932,811.673,2.302863,0.0,255,3
3000000000.0,6.74766,17.76213,21.31655,2.43931,2.615525,18.04333,0.2032363,0.1779069,62.972,5.873986,785.092,2.216976,0.0,256,3
3300000000.0,6.4252,17.22122,20.65162,2.337171,2.506112,17.48755,0.199975,0.1726226,64.1585,5.459837,758.1129999999999,2.133877,0.0,248,3
3600000000.0,6.7135,18.10029,21.73258,2.451759,2.629702,18.39074,0.2043449,0.1821238,64.7342,5.872742,850.6610000000001,2.423375,0.0,261,3
3900000000.0,6.88118,18.45787,22.15037,2.550218,2.732665,18.78847,0.2099028,0.1857385,66.2155,5.90336,772.024,2.126568,0.0,266,3
4200000000.0,7.30468,18.3983,22.06551,2.530084,2.711781,18.68504,0.2182216,0.1840622,67.7567,6.008801,829.014,2.330457,0.0,265,3
4500000000.0,6.87533,17.691,21.22919,2.43281,2.60625,17.98586,0.2041886,0.176851,65.0032,5.886175,782.453,2.195566,0.0,255,3
4800000000.0,7.07212,18.20857,21.81841,2.481064,2.659579,18.50389,0.2091073,0.1818851,67.7285,5.683363,761.986,2.09871,0.0,262,3
5100000000.0,6.64268,17.19401,20.57796,2.339244,2.505594,17.47378,0.2185769,0.1729383,64.2658,5.562905,735.797,2.04214,0.0,247,3
5400000000.0,7.175,18.48303,22.0974,2.461745,2.640512,18.79142,0.2174742,0.1859527,65.9334,6.14132,789.995,2.139948,0.0,265,3
5700000000.0,6.88326,17.79845,21.32757,2.436914,2.610643,18.06992,0.2041984,0.1783345,65.1776,5.695363,757.632,2.098006,0.0,256,3
6000000000.0,6.85737,17.62073,21.09366,2.390333,2.56088,17.90575,0.2085662,0.1768728,63.8433,5.824909,740.129,2.034739,0.0,253,3
6300000000.0,6.98087,17.88344,21.40251,2.426527,2.601052,18.18627,0.210727,0.1794731,66.5508,5.919047,677.127,1.743732,0.0,257,3
6600000000.0,7.29398,18.17598,21.74699,2.436272,2.612969,18.48723,0.2168445,0.1826916,63.7539,5.883383,796.424,2.205855,0.0,261,3
6900000000.0,7.21952,18.18113,21.74446,2.372225,2.548695,18.48289,0.2142999,0.1829377,65.5251,5.854175,747.678,2.023656,0.0,261,3
7200000000.0,6.64748,16.78151,20.07096,2.2243355,2.389141,17.07817,0.2020643,0.1686869,63.0853,5.667122,692.587,1.88028,0.0,241,3
7500000000.0,6.86803,17.22447,20.58141,2.2535052,2.42059,17.51455,0.2084993,0.1731202,63.2568,5.586456,727.603,2.001735,0.0,247,3
7800000000.0,7.16575,17.504179999999998,20.91399,2.311072,2.480828,17.80306,0.2240648,0.175743,66.55499999999999,5.816251,753.7570000000001,2.097626,0.0,251,3
